order_reference,product_name,quantity,unit_price,line_total
ORD_0860,Mouse,6.0,923.37,5540.22
ORD_1127,Lamp,6.0,129.35,659.68
ORD_0007,Fitness Tracker,5.0,228.04,570.1
ORD_0861,Conditioner,2.0,38.22,76.44
ORD_0761,Sports Watch,9.0,,
ORD_1131,Coat Hanger,8.0,87.64,806.29
ORD_0570,Charger,4.0,1142.39,4569.56
ORD_1096,Charger,10.0,1142.39,11423.9
ORD_1045,Leggings,,21.18,
ORD_0122,Face Cream,2.0,23.96,47.92
ORD_0627,Router,9.0,173.62,1562.58
ORD_0829,Headphones,8.0,750.23,6001.84
ORD_0588,Cereal,4.0,7.98,31.92
ORD_0180,Storage Box,6.0,27.43,164.58
ORD_0467,Gloves,9.0,14.13,127.17
ORD_0331,Hoodie,5.0,158.66,674.3
ORD_0543,Dumbbell,8.0,180.1,1440.8
ORD_0228,Fitness Tracker,2.0,228.04,684.12
ORD_0284,Sweater,10.0,132.17,1321.7
ORD_0088,Sports Watch,10.0,35.57,355.7
ORD_0465,Jam,10.0,7.71,77.1
ORD_0278,Plant Pot,5.0,,
ORD_1124,Cutting Board,6.0,37.79,226.74
ORD_1063,Toothpaste,1.0,20.0,20.0
ORD_1057,Hoodie,6.0,158.66,951.96
ORD_0154,Cushion,6.0,6.27,37.62
ORD_0227,Mascara,3.0,27.26,81.78
ORD_0872,Fitness Tracker,6.0,228.04,1368.24
ORD_0131,Storage Box,10.0,27.43,274.3
ORD_0770,Crackers,5.0,24.01,120.05
ORD_0914,Belt,,53.41,
ORD_0344,Sweater,,132.17,
ORD_0806,Shower Gel,7.0,31.86,223.02
ORD_1092,Oats,,11.67,
ORD_0386,Mascara,10.0,27.26,408.9
ORD_1017,Laundry Basket,6.0,,
ORD_0956,Oats,7.0,11.67,81.69
ORD_0277,Swimwear,3.0,130.23,390.69
ORD_0366,Serum,2.0,51.72,103.44
ORD_1185,Microphone,4.0,779.69,1559.38
ORD_0460,Cushion,9.0,6.27,56.43
ORD_0728,Coasters,3.0,113.24,339.72
ORD_0337,Peanut Butter,4.0,28.1,112.4
ORD_0719,Water Bottle,3.0,21.73,65.19
ORD_0022,Conditioner,5.0,,
ORD_0987,Power Bank,4.0,266.91,1067.64
ORD_0253,Serum,9.0,51.72,465.48
ORD_0748,Soap Dispenser,6.0,71.41,428.46
ORD_0857,Coffee,9.0,9.46,85.14
ORD_0377,Shorts,,151.9,
ORD_0762,Resistance Band,1.0,267.11,267.11
ORD_0475,Mouse,7.0,923.37,5494.05
ORD_1083,Cardigan,7.0,131.63,921.41
ORD_0511,Towel,2.0,142.76,285.52
ORD_0700,Tennis Racket,7.0,254.89,1784.23
ORD_0299,Picture Frame,6.0,88.73,532.38
ORD_0701,Serum,6.0,51.72,310.32
ORD_0976,Smartphone,3.0,945.45,2836.35
ORD_1152,Conditioner,4.0,38.22,152.88
ORD_1138,Socks,8.0,68.84,550.72
ORD_1087,Biscuits,10.0,29.25,292.5
ORD_0190,Nuts,1.0,29.61,29.61
ORD_0134,Tablet,1.0,1346.72,1346.72
ORD_0957,Toothbrush,7.0,77.28,540.96
ORD_0958,Sunscreen,4.0,40.27,161.08
ORD_0687,Sneakers,2.0,113.26,226.52
ORD_0958,Scarf,4.0,142.73,570.92
ORD_0563,Clock,7.0,137.5,962.5
ORD_0873,Football,8.0,,
ORD_1118,Perfume,9.0,9.51,85.59
ORD_0832,Candle,10.0,127.47,1274.7
ORD_1155,Jam,9.0,7.71,69.39
ORD_0976,Cushion,3.0,,
ORD_0819,Belt,5.0,53.41,267.05
ORD_0647,Storage Box,5.0,27.43,137.15
ORD_0021,Soup,10.0,26.96,269.6
ORD_0289,Keyboard,3.0,20.0,60.0
ORD_0807,Foam Roller,,77.79,
ORD_0841,Skirt,6.0,136.95,821.7
ORD_1057,Running Shoes,5.0,19.47,97.35
ORD_0036,Dumbbell,7.0,180.1,1260.7
ORD_0298,Speaker,3.0,1049.85,3149.55
ORD_1125,Badminton Set,4.0,178.08,712.32
ORD_0319,Sports Watch,6.0,35.57,213.42
ORD_0371,Smartphone,,945.45,
ORD_0089,Picture Frame,1.0,88.73,88.73
ORD_0167,Sports Watch,10.0,35.57,355.7
ORD_0788,Hair Oil,6.0,20.0,120.0
ORD_0100,Nuts,10.0,29.61,296.1
ORD_0958,Smart TV,5.0,,
ORD_0264,Jacket,10.0,15.78,157.8
ORD_0388,Cycling Gloves,4.0,204.17,408.34
ORD_0601,Crackers,5.0,24.01,120.05
ORD_1181,Hat,4.0,165.24,660.96
ORD_0316,Tennis Racket,4.0,254.89,1019.56
ORD_0784,Gym Bag,8.0,,
ORD_0014,Charger,2.0,1142.39,2284.78
ORD_0242,Mascara,8.0,27.26,218.08
ORD_0777,Nail Polish,4.0,43.42,199.73
ORD_0565,Dumbbell,,180.1,
ORD_0898,Gamepad,10.0,1043.03,10430.3
ORD_0473,Cutting Board,7.0,37.79,224.85
ORD_0092,Blanket,1.0,37.47,37.47
ORD_0677,Water Bottle,3.0,21.73,65.19
ORD_0956,Resistance Band,6.0,267.11,1602.66
ORD_0295,Gamepad,5.0,1043.03,5215.15
ORD_0418,Charger,5.0,,
ORD_0925,Gloves,9.0,14.13,127.17
ORD_0479,Yoga Mat,2.0,15.35,30.7
ORD_1163,Doormat,,119.9,
ORD_0931,Honey,1.0,3.42,3.42
ORD_0509,Skipping Rope,2.0,152.47,304.94
ORD_0326,Mirror,4.0,34.64,138.56
ORD_0480,Gloves,5.0,14.13,35.33
ORD_0776,Cutting Board,9.0,37.79,340.11
ORD_0307,Resistance Band,9.0,267.11,2403.99
ORD_1086,Foam Roller,7.0,77.79,544.53
ORD_0035,Storage Box,5.0,27.43,137.15
ORD_1060,Razor,9.0,62.25,560.25
ORD_0163,Leggings,1.0,,
ORD_0704,Lamp,3.0,129.35,388.05
ORD_0206,Vase,5.0,74.99,431.19
ORD_1105,Jeans,9.0,20.0,180.0
ORD_1026,Cycling Gloves,5.0,,
ORD_1022,Smart TV,9.0,,
ORD_0566,Lip Balm,4.0,,
ORD_1130,Boots,3.0,20.0,60.0
ORD_0703,Smartphone,7.0,945.45,6618.15
ORD_0402,Sweater,1.0,132.17,132.17
ORD_0730,Cushion,8.0,6.27,50.16
ORD_0933,Leggings,4.0,21.18,42.36
ORD_0533,Laundry Basket,4.0,119.13,476.52
ORD_0162,Smartwatch,3.0,576.28,1728.84
ORD_0202,Deodorant,3.0,49.92,149.76
ORD_0996,Socks,,68.84,
ORD_0188,Sweater,8.0,132.17,1057.36
ORD_0270,Oats,8.0,11.67,140.04
ORD_0730,Bicycle Helmet,,293.98,
ORD_0816,Knee Pads,10.0,37.22,372.2
ORD_0456,Granola,6.0,3.28,19.68
ORD_1017,Speaker,2.0,1049.85,2099.7
ORD_0296,Blanket,7.0,37.47,262.29
ORD_0720,Rug,6.0,81.5,489.0
ORD_0631,Blanket,8.0,37.47,299.76
ORD_1035,Protein Bar,1.0,6.97,6.97
ORD_0503,Graphics Card,9.0,,
ORD_0523,Gloves,7.0,14.13,98.91
ORD_0219,Sneakers,5.0,113.26,566.3
ORD_0338,Storage Box,5.0,27.43,137.15
ORD_0879,Jacket,10.0,15.78,157.8
ORD_0948,Crackers,5.0,24.01,120.05
ORD_0443,SSD Drive,3.0,819.93,2459.79
ORD_0152,Sneakers,2.0,113.26,226.52
ORD_1077,Vase,5.0,74.99,374.95
ORD_0290,Belt,9.0,53.41,480.69
ORD_0792,Coasters,3.0,113.24,339.72
ORD_1028,Cushion,10.0,6.27,62.7
ORD_0905,Instant Noodles,2.0,29.39,58.78
ORD_0217,Rug,9.0,81.5,733.5
ORD_0764,Socks,1.0,68.84,68.84
ORD_0188,Graphics Card,,289.49,
ORD_0380,Soap Dispenser,1.0,,
ORD_0493,Cycling Gloves,7.0,204.17,1429.19
ORD_0265,Monitor,4.0,548.49,2193.96
ORD_1065,T-Shirt,2.0,20.0,40.0
ORD_1181,Peanut Butter,4.0,28.1,112.4
ORD_0015,Face Cream,7.0,,
ORD_0503,Laptop,8.0,20.0,160.0
ORD_0423,Cereal,9.0,7.98,82.59
ORD_0065,Tea,5.0,3.37,16.85
ORD_0521,Mascara,3.0,27.26,81.78
ORD_1153,Sneakers,6.0,113.26,679.56
ORD_0648,Laundry Basket,,119.13,
ORD_0133,Hat,9.0,165.24,743.58
ORD_1087,Leggings,1.0,21.18,21.18
ORD_0331,Lip Balm,1.0,41.42,41.42
ORD_1163,Lamp,7.0,129.35,905.45
ORD_1032,Coat,10.0,130.08,1951.2
ORD_0916,Tablet,7.0,1346.72,9427.04
ORD_0574,Coat,7.0,130.08,910.56
ORD_0593,Mascara,9.0,27.26,245.34
ORD_0999,Storage Box,8.0,27.43,219.44
ORD_0892,Jam,10.0,7.71,77.1
ORD_0847,Smart TV,4.0,563.86,2255.44
ORD_0392,Coat,3.0,130.08,390.24
ORD_0419,Jam,,7.71,
ORD_0289,Protein Bar,5.0,6.97,34.85
ORD_0285,Cushion,8.0,6.27,50.16
ORD_0624,Toner,8.0,20.0,160.0
ORD_0196,Belt,5.0,53.41,267.05
ORD_0379,Boots,10.0,20.0,170.0
ORD_0231,Coasters,2.0,113.24,226.48
ORD_1018,Webcam,4.0,1047.62,4190.48
ORD_0041,Lamp,9.0,129.35,1164.15
ORD_1052,Blanket,10.0,37.47,374.7
ORD_0507,Olive Oil,3.0,15.63,39.86
ORD_0135,Bicycle Helmet,6.0,293.98,1763.88
ORD_0201,Resistance Band,7.0,267.11,1869.77
ORD_0780,Power Bank,3.0,266.91,800.73
ORD_1030,Serum,8.0,51.72,413.76
ORD_0096,Candle,6.0,127.47,764.82
ORD_0930,Blanket,7.0,,
ORD_0862,Scarf,10.0,142.73,1427.3
ORD_1167,Keyboard,4.0,20.0,80.0
ORD_0149,Football,8.0,122.47,979.76
ORD_0746,Yoga Mat,7.0,15.35,107.45
ORD_1057,Foam Roller,9.0,77.79,700.11
ORD_1072,Gloves,3.0,14.13,42.39
ORD_0467,Monitor,4.0,548.49,1864.87
ORD_0503,Hair Oil,2.0,20.0,40.0
ORD_0513,Swimwear,9.0,130.23,1172.07
ORD_0659,Coffee,7.0,9.46,66.22
ORD_0407,Honey,8.0,3.42,27.36
ORD_0768,Mouse,1.0,923.37,923.37
ORD_0805,Olive Oil,7.0,15.63,109.41
ORD_0493,Rug,1.0,81.5,81.5
ORD_0812,Pasta,1.0,13.78,6.89
ORD_0002,Lip Balm,3.0,41.42,124.26
ORD_0099,Basketball,6.0,20.0,120.0
ORD_0275,Bicycle Helmet,5.0,293.98,1469.9
ORD_0704,Protein Bar,8.0,6.97,55.76
ORD_0684,Router,,173.62,
ORD_0726,Rug,,81.5,
ORD_0961,Storage Box,5.0,27.43,137.15
ORD_1183,Smart TV,1.0,563.86,563.86
ORD_0613,SSD Drive,3.0,819.93,2459.79
ORD_0643,Sunscreen,9.0,40.27,362.43
ORD_0342,Fitness Tracker,9.0,,
ORD_1029,Scarf,3.0,142.73,428.19
ORD_0503,Webcam,,,
ORD_0372,Smart TV,2.0,563.86,1127.72
ORD_0448,Router,6.0,173.62,1197.98
ORD_0072,Rug,3.0,81.5,244.5
ORD_0767,Dress,2.0,65.57,131.14
ORD_0106,Plant Pot,8.0,118.04,944.32
ORD_0398,Face Cream,8.0,23.96,191.68
ORD_0871,Nuts,4.0,29.61,118.44
ORD_0795,Shower Gel,8.0,31.86,254.88
ORD_0747,Vase,4.0,74.99,299.96
ORD_0393,Cutting Board,6.0,37.79,226.74
ORD_0207,Picture Frame,10.0,88.73,887.3
ORD_0165,Hair Oil,1.0,20.0,20.0
ORD_0665,Coat Hanger,1.0,87.64,87.64
ORD_1039,Soup,7.0,26.96,94.36
ORD_0892,Graphics Card,7.0,289.49,2026.43
ORD_0864,Coat Hanger,8.0,,
ORD_0986,Mascara,3.0,27.26,81.78
ORD_0743,Badminton Set,,178.08,
ORD_0866,Plant Pot,8.0,118.04,944.32
ORD_0564,Earbuds,8.0,1420.23,11361.84
ORD_1021,Running Shoes,4.0,19.47,77.88
ORD_0416,Coffee,3.0,9.46,28.38
ORD_0496,Dried Fruit,10.0,20.0,200.0
ORD_0096,Running Shoes,7.0,19.47,136.29
ORD_1159,Nail Polish,9.0,43.42,390.78
ORD_0478,Knee Pads,6.0,37.22,223.32
ORD_0485,Mascara,1.0,27.26,27.26
ORD_0231,Tennis Racket,2.0,254.89,509.78
ORD_0376,Mug,5.0,92.79,533.54
ORD_0933,Shower Gel,2.0,31.86,63.72
ORD_0749,Sweater,4.0,132.17,528.68
ORD_0840,Microphone,8.0,779.69,6237.52
ORD_0731,Coat,3.0,130.08,390.24
ORD_1195,Dried Fruit,8.0,20.0,160.0
ORD_0649,Coffee,9.0,9.46,85.14
ORD_0002,Face Mask,6.0,52.96,317.76
ORD_1181,Dumbbell,2.0,180.1,360.2
ORD_0541,Router,5.0,173.62,868.1
ORD_0558,Earbuds,7.0,1420.23,8450.37
ORD_1060,Dried Fruit,8.0,20.0,160.0
ORD_0845,Soup,3.0,26.96,80.88
ORD_0525,Olive Oil,5.0,15.63,78.15
ORD_0796,Sports Watch,10.0,35.57,355.7
ORD_1184,Cardigan,5.0,131.63,658.15
ORD_0811,Deodorant,10.0,49.92,499.2
ORD_0365,Belt,7.0,53.41,373.87
ORD_0919,Mirror,4.0,34.64,138.56
ORD_1110,Blazer,6.0,88.9,533.4
ORD_0640,USB Hub,6.0,107.53,645.18
ORD_0578,Coat Hanger,10.0,87.64,876.4
ORD_0179,Smart TV,9.0,563.86,5074.74
ORD_1109,Mirror,10.0,34.64,346.4
ORD_0168,Honey,5.0,3.42,17.1
ORD_0758,Tennis Racket,1.0,254.89,254.89
ORD_0682,Dried Fruit,8.0,20.0,240.0
ORD_0360,Skipping Rope,4.0,152.47,609.88
ORD_0145,Foam Roller,8.0,77.79,622.32
