customer_id,order_date,store_name,status,total_amount,order_reference
56,2023-08-13,HarborStore,Pending,328.05,ORD_0001
553,09-09-2023,EastStore,completed,431.57,ORD_0002
259,05-21-2024,,SHIPPED,252.74,ORD_0003
584,07/12/2024,NorthStore,cancelled,262.14,ORD_0004
213,18/10/2024,MainStore,Pending,89.05,ORD_0005
75,2022-07-20,SouthStore,shipped,161.94,ORD_0006
293,05-03-2024,CityStore,COMPLETED,164.97,ORD_0007
379,10-05-2023,SouthStore,Completed,698.19,ORD_0008
109,20/10/2024,CenterStore,Completed,670.23,ORD_0009
459,8 August 2023,MainStore,Pending,15.47,ORD_0010
290,18 January 2023,CenterStore,Pending,364.15,ORD_0011
321,28/06/2024,,Pending,386.04,ORD_0012
359,05-22-2024,WestStore,COMPLETED,516.09,ORD_0013
15,07-01-2022,WestStore,pending,237.73,ORD_0014
25,2024-02-24,,Completed,437.61,ORD_0015
449,27/01/2024,,completed,240.75,ORD_0016
51,2024-12-25,MarketStore,COMPLETED,284.74,ORD_0017
233,6 March 2022,CenterStore,COMPLETED,34.33,ORD_0018
581,07-18-2023,MarketStore,Shipped,366.88,ORD_0019
272,22/05/2023,MarketStore,COMPLETED,398.67,ORD_0020
476,2024-11-13,WestStore,Shipped,296.03,ORD_0021
115,2024-07-22,CenterStore,COMPLETED,710.82,ORD_0022
391,01-15-2024,CityStore,shipped,219.77,ORD_0023
138,07-21-2022,,COMPLETED,668.58,ORD_0024
468,01-13-2022,MainStore,Pending,459.86,ORD_0025
330,2023-05-15,SouthStore,completed,214.32,ORD_0026
115,21 December 2022,NorthStore,shipped,201.15,ORD_0027
64,25 May 2023,EastStore,cancelled,466.69,ORD_0028
284,22 September 2024,HarborStore,Completed,363.21,ORD_0029
76,12-01-2024,PlazaStore,SHIPPED,212.85,ORD_0030
193,21 May 2022,EastStore,cancelled,723.85,ORD_0031
160,10/12/2024,MarketStore,completed,581.83,ORD_0032
298,06-19-2023,,Pending,675.71,ORD_0033
411,26 May 2022,MainStore,SHIPPED,576.75,ORD_0034
69,2022-01-13,PlazaStore,pending,334.45,ORD_0035
547,01/07/2024,MarketStore,shipped,589.69,ORD_0036
313,04-06-2024,CityStore,SHIPPED,752.4,ORD_0037
74,28/01/2023,MarketStore,cancelled,246.08,ORD_0038
278,5 February 2023,WestStore,COMPLETED,740.84,ORD_0039
490,22 April 2022,EastStore,Completed,570.78,ORD_0040
466,28 November 2023,CityStore,cancelled,731.41,ORD_0041
174,05-23-2024,CenterStore,COMPLETED,519.38,ORD_0042
161,8 March 2024,WestStore,shipped,447.84,ORD_0043
201,7 March 2022,CenterStore,SHIPPED,453.93,ORD_0044
192,2024-05-06,HarborStore,Shipped,684.09,ORD_0045
413,18/12/2022,PlazaStore,Pending,793.14,ORD_0046
235,16 February 2022,CityStore,Shipped,569.57,ORD_0047
12,5 January 2024,SouthStore,shipped,46.67,ORD_0048
152,14/10/2022,,Cancelled,110.26,ORD_0049
160,05-13-2023,,COMPLETED,259.63,ORD_0050
544,2023-08-18,NorthStore,shipped,737.71,ORD_0051
8,28/09/2023,CityStore,SHIPPED,596.4,ORD_0052
482,26/03/2023,EastStore,cancelled,707.69,ORD_0053
16,2023-11-10,PlazaStore,Completed,289.06,ORD_0054
535,04/04/2024,NorthStore,pending,699.72,ORD_0055
443,01-11-2023,EastStore,Completed,510.99,ORD_0056
63,09-18-2023,EastStore,Shipped,142.31,ORD_0057
21,2023-04-15,HarborStore,Shipped,250.82,ORD_0058
598,4 November 2022,MainStore,Completed,81.02,ORD_0059
156,21 May 2022,MainStore,cancelled,654.08,ORD_0060
103,19/11/2023,MainStore,Completed,678.29,ORD_0061
101,21 November 2022,MarketStore,SHIPPED,163.31,ORD_0062
477,27 September 2023,MainStore,Completed,98.32,ORD_0063
285,20 February 2024,CityStore,completed,452.02,ORD_0064
529,2023-02-14,NorthStore,pending,520.16,ORD_0065
115,12-15-2023,WestStore,shipped,103.42,ORD_0066
293,10/10/2022,MarketStore,Pending,11.42,ORD_0067
171,28/08/2023,WestStore,Cancelled,320.42,ORD_0068
99,10-21-2022,CityStore,Completed,724.63,ORD_0069
516,06-01-2024,,cancelled,31.56,ORD_0070
344,11-10-2023,,shipped,668.32,ORD_0071
175,27 November 2023,SouthStore,Pending,416.27,ORD_0072
298,2024-03-24,SouthStore,SHIPPED,81.22,ORD_0073
123,22 June 2022,NorthStore,pending,645.23,ORD_0074
434,27 July 2023,HarborStore,SHIPPED,428.89,ORD_0075
153,04-21-2023,MainStore,Cancelled,464.54,ORD_0076
426,08-17-2022,MarketStore,completed,140.0,ORD_0077
327,2024-12-24,CityStore,Completed,390.77,ORD_0078
428,2023-03-17,PlazaStore,Completed,782.82,ORD_0079
463,2024-09-28,SouthStore,pending,91.85,ORD_0080
553,2023-10-13,EastStore,SHIPPED,758.03,ORD_0081
484,15/05/2024,WestStore,completed,325.4,ORD_0082
460,22/02/2022,PlazaStore,shipped,679.2,ORD_0083
201,5 March 2024,WestStore,pending,757.62,ORD_0084
318,2022-03-14,HarborStore,Pending,466.51,ORD_0085
105,15 June 2022,MainStore,Shipped,210.37,ORD_0086
73,20/12/2023,PlazaStore,Pending,551.11,ORD_0087
313,26/07/2022,HarborStore,Completed,779.15,ORD_0088
524,2024-12-07,EastStore,pending,773.73,ORD_0089
301,02/02/2024,MainStore,SHIPPED,497.96,ORD_0090
2,01-05-2024,CenterStore,Pending,475.35,ORD_0091
26,09-22-2024,MarketStore,completed,662.28,ORD_0092
481,6 May 2022,,COMPLETED,370.18,ORD_0093
152,2024-03-06,NorthStore,SHIPPED,319.92,ORD_0094
40,17/03/2024,SouthStore,Completed,242.91,ORD_0095
548,24/01/2022,,Shipped,61.94,ORD_0096
406,15 March 2022,NorthStore,SHIPPED,494.88,ORD_0097
517,02-11-2022,SouthStore,Cancelled,213.28,ORD_0098
496,8 January 2023,EastStore,Shipped,416.98,ORD_0099
551,26 July 2024,WestStore,Pending,655.14,ORD_0100
123,2022-08-13,WestStore,Shipped,330.39,ORD_0101
275,07/08/2022,CityStore,Pending,739.42,ORD_0102
75,23/08/2024,PlazaStore,Shipped,158.75,ORD_0103
580,06/05/2024,CenterStore,Cancelled,364.09,ORD_0104
342,26 September 2023,CenterStore,COMPLETED,639.84,ORD_0105
341,08/11/2024,NorthStore,cancelled,172.39,ORD_0106
270,20 October 2023,,SHIPPED,311.68,ORD_0107
176,17/01/2022,,Pending,412.95,ORD_0108
81,01-19-2022,WestStore,Shipped,260.61,ORD_0109
168,2024-02-15,PlazaStore,Pending,455.19,ORD_0110
590,09-08-2022,MainStore,SHIPPED,427.44,ORD_0111
137,28 June 2023,CityStore,shipped,474.82,ORD_0112
215,11-03-2023,HarborStore,completed,752.55,ORD_0113
335,2024-03-18,PlazaStore,completed,756.04,ORD_0114
551,2023-01-24,EastStore,Shipped,666.26,ORD_0115
73,04-24-2024,MainStore,completed,52.2,ORD_0116
5,08/05/2022,MarketStore,shipped,310.62,ORD_0117
132,4 April 2023,MarketStore,completed,89.72,ORD_0118
464,01-24-2024,,cancelled,483.95,ORD_0119
550,16 July 2023,MarketStore,SHIPPED,433.17,ORD_0120
226,16 November 2022,SouthStore,SHIPPED,468.54,ORD_0121
161,2024-11-09,HarborStore,Shipped,268.09,ORD_0122
42,24/07/2022,NorthStore,SHIPPED,460.53,ORD_0123
385,2024-11-12,SouthStore,Pending,785.27,ORD_0124
33,2022-04-04,NorthStore,Shipped,578.56,ORD_0125
46,15/08/2024,NorthStore,shipped,239.0,ORD_0126
197,25 December 2024,SouthStore,shipped,712.49,ORD_0127
507,11-27-2024,SouthStore,Cancelled,514.92,ORD_0128
186,06/03/2022,,Pending,225.68,ORD_0129
133,2022-06-14,EastStore,SHIPPED,257.43,ORD_0130
536,5 October 2023,SouthStore,completed,567.36,ORD_0131
218,22/07/2023,SouthStore,completed,194.67,ORD_0132
274,12-20-2024,WestStore,SHIPPED,435.26,ORD_0133
569,04-17-2024,HarborStore,shipped,784.03,ORD_0134
138,2022-12-27,NorthStore,SHIPPED,230.43,ORD_0135
359,03/08/2023,WestStore,Cancelled,246.01,ORD_0136
468,16/12/2023,MarketStore,SHIPPED,33.85,ORD_0137
402,21/08/2022,NorthStore,Completed,572.13,ORD_0138
359,2024-05-21,MarketStore,Shipped,620.41,ORD_0139
14,24 December 2024,SouthStore,Completed,708.23,ORD_0140
241,04/05/2023,EastStore,Cancelled,379.18,ORD_0141
305,28/05/2023,SouthStore,pending,766.02,ORD_0142
581,03/03/2023,NorthStore,completed,757.29,ORD_0143
270,04-14-2023,MarketStore,shipped,373.92,ORD_0144
267,16/09/2024,MarketStore,completed,682.27,ORD_0145
150,20 January 2023,MarketStore,completed,570.74,ORD_0146
